positivePoints,negativePoints,commentText,like,dislike,"کيفيت عملکرد",ارگونومي,"کيفيت ساخت","امکانات و قابليت ها","ارزش در برابر قيمت"
"حافظه بالا
پردازش گرافيکي عالي","قيمت بالا
موجود بودن تعداد محدود استيکر براي اين نسخه
قيافه بسيار ساده
نداشتن تفاوت زياد نسبت به نسخه معمولي","من خودم چون نسخه معمولیش امتحانش رو پس داده رفتم نسخه معمولی رو گرفتم .... اول نظرم رو اسلیم بود ... نمایندگی گفت زیاد تفاوتی باهم ندارن ... فقط از نظر قیافه و صدای کنسول با هم تفاوت دارن... که این صدا نسخه معمولی زیاد به گوش نمیرسه و راست میگفت.. قیافه اسلیم رو دوست ندارم خیلی ساده س...
من خیلی به لوازم جانبی اهمیت میدم مخصوصا استیکر... استیکر ها بیشتر برا نسخه معمولیش هست و برای اسلیم کم پیدا میشه ... من تاحالا مشکل با صدا یا داغی نداشتم ... فوقش با کول پد حل میشه
نسخه pro هم که زیاد گرونه و ضخامت بدنه زیادی داره ...
انشااله 2 الی 3 سال دیگه پلی 5 بیاد اون رو میخرم",18,25,3,2,5,2,1
"اسليم معمولا بهتر از نسخه اولي هستش(ps1,2,3)","قيمت بالاي بازي ها","همیشه و معمولا در اکثر موارد سری اسلیم بهتر از نسخه های اولی هستش این قضیه تو پلی استیشن 1،2،3 هم ثابت شد و اون چیزی که هم با منطق جور در میاد همینه چون سیاست سونی بر مبنای سود از طریق بازی و پی اس نتوورک و ... هستش و مهمتر از همه اگه نسخه اول بهتر بود پس چرا دیگه توقف تولید میخوره و از این به بعد شاهد تولید سری اسلیم و پرو خواهیم بود؟",35,11,5,5,5,5,5
"گرم نشدن بيش از حد","گرون بودن بازي هاش","امروز به دستم میرسه با اطلاعاتی که ازش دارم و بررسی هایی که انجام دادم میدونم میترکونه",15,2,3,3,3,3,3
"ريجن 2 و1 ترا بايت حافظه","نداشتن دسته و پايه، قدرت کم و کيفيت پايين","خوب نیست چون اگر دسته و پای کنسول را بخواهید تهیه کنید خیلی گرون می شه و نمیصرفه",3,43,3,1,2,0,3
"قيمت مناسب صداي فن کمتر جمع وجور تر","کيفيت ساخت پايين حذف شدن پورت اپتيکال","در کل برای افراد با بودجه محدود مناسب است",7,25,5,5,1,5,2
"طبق تحقيقاتى که کردم بايد چيز خوبى باشه","نظرى ندارم","سفارش دادم قراره بدستم برسه طبق تحقیقاتم گفتن کوشکتر وزیباتر ازمدل هاى قبلى و کم سو صدا تره",50,45,5,5,5,5,5
"کيفيت بازي هاي عالي
شکل ظاهري خوب",,"بسیار دستگاه خوبیه من که ازش خیلی راضی هستم
کیفیته بازی هاش هم که حرف نداره",10,3,5,5,5,5,5
"همه چيش عاليه","نبود بازي برا فروش در ديجي کالا","با سلام: همه چیه این دستگاه خوبه کارشم خیلی درسته فقط اگه دیجی کالا بازی ام برا فروش بزاره دیگه واقعا حرف نداره لا اقل fall out4رو بزار برا فروش، دمتون گرم.",24,5,5,5,5,5,5
,,"از نظر بی صدا و سبک بودن عالیه،،،،ولی از نظر زیبایی معمولیه،،خطوط تیز رو برداشتن،،،در صورتی که خطوط تیزه در مدل قبلی بسیار چشمگیره و خاصه،،از نظر من مدل قبلی باحال تره",16,9,3,3,3,3,3
,,"در مورد این کالا باید بگم که خودم همین مدل رو به تازگی خریداری کردم و خیلی هم راضیم و خرید مدل قدیمی رو پیشنهاد نمیکنم
اما نظر رو برای این دادم که بگم بنده بیش از یک ماه پیش قبل از اینکه بخرم گزینه اطلاع رسانی برای موجود شدن رو فعال کردم و تازه امروز ایمیل دریافت کردم
امیدوارم که تیم دیجیکالا برای موجود کردن کالاها بهتر از این اقدام کنه",12,8,5,4,4,5,5
"کيفيت ساخت عالي
گرافيک عاليه بازي ها بر روي اين کنسول
دسته فوق العاده
1tb حجم","قيمت بازي ها گران","اسلیمش خییییلی بهتر از معمولیشه چون کمتر داغ میکنه و صدا زیاد نداره و دستش شارژ بیشتر نگه میداره و کوچک تر شده و وزنش کم تر شده و بسیار زیبا تر شده و ...
مخصوصا مدل 1tb که حجمش بسیار زیاده برای بازی ها خودم دقیقا همین رو دارم و بسیار راضیم و شدیدا توصیه میکنم",16,10,5,5,5,5,5
"صداي کم و زيبا و کوچک داغ هم خيلي نمي شه",نداره,"سلام نسخه اسلیم بگیرید بهتر.",14,8,5,5,5,5,5
