id,title,price,userRate,recommendationCount,description,"سهولت در استفاده","عملکرد و کارآیی","کیفیت ساخت","طراحی و زیبایی","ارزش خرید به نسبت قیمت"
228615,"45,000","D-Link NTP-001 Punch Down Tool
آچار پانچ دي-لينک مدل NTP-001",,0,,,,,,,"ابزار شبکه","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
228608,"65,000","D-Link NTC-001 Crimping Tool
آچار پرس دي-لينک مدل NTC-001",,0,,,,,,,"ابزار شبکه","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
169014,"789,000","TP-LINK TL-SG1008PE 8-Port Gigabit Desktop/Rackmount 8-Port PoE Plus Switch
سوييچ 8 پورت گيگابيتي دسکتاپ رکمونت تي پي-لينک به همراه 8 پورت PoE مدل TL-SG1008PE",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
168811,"51,000","TP-LINK UE200 USB 2.0 to 100Mbps Ethernet Network Adapter
کارت شبکه تي پي-لينک مدل UE200",۳,0,,3,3,3,3,3,"کارت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
167375,"615,000","D-Link DCS-960L Network Camera
دوربين تحت شبکه دي-لينک مدل DCS-960L",۴.۲,0,,4.2,4,4.2,4.2,4.2,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
166901,"360,000","D-Link DWR-921E Wireless 4G Router
مودم بي‌سيم 4G دي-لينک مدل DWR-921E",۴.۱,0,,4.2,4,4,4.2,3.9,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
165856,"225,000","TP-LINK TL-WA7210N Access Point
اکسس پوينت تي پي-لينک مدل WA7210N",,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
165496,"790,000","TP-LINK AP500 AC1900 Access Point
اکسس پوينت AC1900 تي پي-لينک مدل AP500",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
163085,"1,015,000","D-Link DWR-925 Wireless 4G LTE Modem Router
مودم روتر 4G LTE بي سيم دي-لينک مدل DWR-925",۳.۶,0,,3.8,3.6,3.8,3.5,2.7,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162989,"1,159,000","D-Link DGS-1100-10MP 10-Port Switch
سوييچ 10 پورت دي-لينک مدل DGS-1100-10MP",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162985,"534,000","D-Link DGS-1008MP 8-Port POE Switch
سوييچ 8 پورت POE دي-لينک مدل DGS-1008MP",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162984,"165,000","D-Link DES-1024C 24-Port Switch
سوييچ 24 پورت دي-لينک مدل DES-1024C",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162982,"135,000","D-LINK DES-1016C 16-Port Switch
سوييچ 16 پورت دسکتاپي دي-لينک مدل DES-1016C",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162620,"1,049,000","D-Link DIR-885L Dual-Band AC3150 Wireless Router
روتر بي‌ سيم دو بانده AC3150 دي-لينک مدل DIR-885L",۴,0,,4,4,4,4,4,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162619,"1,469,000","D-Link DIR-895L Tri-Band AC5300 Wireless Router
روتر بي‌ سيم سه بانده AC5300 دي-لينک مدل DIR-895L",۴,0,,4,4.1,3.8,4.1,3.5,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
158673,"1,400,000","هارد ديسک اکسترنال وسترن ديجيتال مدل My Cloud ظرفيت 8 ترابايت
Western Digital My Cloud External Hard Drive - 8TB",۵,0,,2.6,3,2.8,2.9,2.3,"هارد ديسک اکسترنال","تجهيزات ذخيره سازي اطلاعات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155556,"1,480,000","AHD Negron Retail Commercial Surveillance 6Camera
سيستم امنيتي اي اچ دي نگرون کاربري فروشگاهي 6 دوربين",۵,0,,2.6,2.7,2.4,2.8,2.5,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155336,"398,000","TOTOLINK 24 Port SG24 Ethernet Switch
سوييچ 24 پورت توتولينک مدل SG24",۴.۹,0,,,,4.5,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
