positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"سايز مناسب ( اندازه جعبه سيگار)
پيچيدگي خاصي نداره
نصب و راه اندازيش راحته",,"تا حالا تجربه استفاده از این مودم ها رو نداشتم. تو تخفیف گرفتم. بین این و ایرانسل مونده بودم. دیدم مودمی بگیرم لاک نباشه بهتره
این نکات رو میگم که کارتون بهتر راه بیفته.
سیم کارتتون بزرگ باید باشه. نانو میکرو نباشه.
قبل از اینکه باتری رو بزارین یک عکس از نوشته های پشتش بندازین چون هم پسوورد لازمتون میشه هم بعدش بخواین برین تو سایتش اطلاعاتتون رو ثبت کنین سریال دستگاه لازمتون میشه. یک سایت روی کاورش زده. حتما برین توش ثبت نام کنید تا حدود یک سال بیشتر به خدمات پس از فروشتون اضافه بشه. من قبلا 3g داشتم. این واقعا بهتره.",19,3,4,5,5,4,5
,,"خیلی ازش راضی ام
شارژ باطری خوبی داره ُ داغ نمی شه ُ آنتن دهیش خوبه
فقط با سیم کارت ایرانسل USSD مشکل دارم هر کدی که ارسال می کنم می نویسه session start مجبور شدم بجای کد های دستوری از خود اپ ایرانسل استفاده کنم
قسمت user های متصل به وایفای داره باامکان بلاک کردن افراد مزاحم
ip range از 192.168.0.1 شروع می شه برای کسایی که مثل من چندتا نتورک روی یک سیستم دارن باید ip gateway رو عوض کنن",8,0,5,4,4,5,5
,,"دستگاه جالبیه به خصوص برای کسانی که مدام در حرکت و سفرند .به مهونی رفتن با این دستگاه خیال صاحب خونه راحتتره!!!
تنها عیب اتمام شارژ بعد مدت زمان معلوم!",11,1,3,3,3,3,3
"[""سبک و راه اندازي ساده""]","[""کيفيت ساخت و شارژدهي نسبتا کم""]","من خریدمش، محصول خوبیه، سرعت اینترنت رایتل خوب شده تو کرج من امشب تقریبا سرعتم 20مگابیت بوده، فقط نوع ارتباط رو فقط 4g انتخاب کنید",9,1,3,5,5,5,5
,,"بهترین مودم 4g",5,3,5,5,5,5,5
"آنتن دهي قوي
باتري بسيار قوي
ارسال کد USSD
پنل مديريت بسيار کاربردي",,"دوستان عزیز نداشتن LCD رو در این محصول به عنوان نقطه مطرح کردن که مورد مشخصه این محصول است و نداشتن LCD برای ارزون تر شدن هست",7,0,5,5,5,5,5
"آنتن دهي خوب
پشتيباني از تعداد کاربران
مديريت راحت تر",ندارد,"من خریدم واقعا راضیم ازش",6,6,5,5,5,5,5
,,"دیجی لطفا باند های 3G و 4G هم قید کن که لازم نشه بقیه به سایت D-Link رجوع کنند",8,0,0,0,0,0,0
"[""فوق العاده و پرسرعت""]","[""لطفا ارزان تر قرار دهيد تا خيلي ها بتوانند آن را خريداري کنند""]","عالی فقط گران است لطفا ارزان تر قرار دهید
موافق ها لایک کنن",39,1,3,5,5,5,5
,,"سلام هروقت شگفت انگیز شه میخام",32,1,3,3,3,3,3
"همه چي تموم",ندارد,"لطفا شگفت انگیز بذارید",38,3,3,3,3,3,3
